model,params,mean_test_accuracy_score,mean_train_accuracy_score,mean_test_precision_score,mean_train_precision_score,ranking_test_accuracy_score,ranking_test_precision_score
KNeighborsClassifier,"algorithm: brute, n_neighbors: 500, p: 2, weights: distance",0.0,0.0,0.0,0.0,-,-
KNeighborsClassifier,"algorithm: brute, n_neighbors: 500, p: 5, weights: uniform",0.0,0.0,0.0,0.0,-,-
KNeighborsClassifier,"algorithm: brute, n_neighbors: 500, p: 5, weights: distance",0.0,0.0,0.0,0.0,-,-
KNeighborsClassifier,"algorithm: brute, n_neighbors: 500, p: 10, weights: uniform",0.0,0.0,0.0,0.0,-,-
KNeighborsClassifier,"algorithm: brute, n_neighbors: 500, p: 10, weights: distance",0.0,0.0,0.0,0.0,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.01, n_estimators: 1",0.59,0.62,0.78,0.84,-,highest of its class
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.01, n_estimators: 5",0.61,0.64,0.78,0.82,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.01, n_estimators: 10",0.62,0.65,0.76,0.82,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.01, n_estimators: 50",0.63,0.68,0.73,0.78,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.01, n_estimators: 100",0.65,0.69,0.73,0.78,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.01, n_estimators: 200",0.66,0.72,0.73,0.79,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.01, n_estimators: 500",0.66,0.77,0.71,0.82,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.05, n_estimators: 1",0.59,0.62,0.78,0.84,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.05, n_estimators: 5",0.62,0.66,0.75,0.8,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.05, n_estimators: 10",0.63,0.68,0.73,0.78,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.05, n_estimators: 50",0.64,0.73,0.69,0.8,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.05, n_estimators: 100",0.66,0.77,0.72,0.83,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.05, n_estimators: 200",0.66,0.81,0.7,0.86,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.05, n_estimators: 500",0.65,0.87,0.69,0.91,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.1, n_estimators: 1",0.59,0.62,0.78,0.84,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.1, n_estimators: 5",0.63,0.68,0.72,0.78,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.1, n_estimators: 10",0.65,0.7,0.72,0.78,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.1, n_estimators: 50",0.66,0.78,0.71,0.83,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.1, n_estimators: 100",0.65,0.81,0.69,0.86,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.1, n_estimators: 200",0.64,0.85,0.68,0.9,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.1, n_estimators: 500",0.66,0.92,0.71,0.95,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.2, n_estimators: 1",0.59,0.62,0.78,0.84,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.2, n_estimators: 5",0.64,0.69,0.72,0.78,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.2, n_estimators: 10",0.65,0.71,0.72,0.79,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.2, n_estimators: 50",0.63,0.82,0.68,0.87,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.2, n_estimators: 100",0.65,0.86,0.69,0.92,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.2, n_estimators: 200",0.65,0.92,0.7,0.95,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.2, n_estimators: 500",0.67,0.98,0.7,0.99,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.5, n_estimators: 1",0.59,0.62,0.78,0.84,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.5, n_estimators: 5",0.64,0.71,0.69,0.78,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.5, n_estimators: 10",0.64,0.75,0.71,0.83,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.5, n_estimators: 50",0.65,0.88,0.7,0.92,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.5, n_estimators: 100",0.67,0.94,0.7,0.96,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.5, n_estimators: 200",0.67,0.99,0.7,1.0,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 0.5, n_estimators: 500",0.68,1.0,0.7,1.0,highest of its class,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 1, n_estimators: 1",0.59,0.62,0.78,0.84,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 1, n_estimators: 5",0.62,0.73,0.67,0.77,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 1, n_estimators: 10",0.6,0.77,0.63,0.8,-,lowest of its class
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 1, n_estimators: 50",0.67,0.93,0.71,0.95,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 1, n_estimators: 100",0.67,0.99,0.71,1.0,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 1, n_estimators: 200",0.67,1.0,0.69,1.0,-,-
AdaBoostClassifier,"algorithm: SAMME.R, learning_rate: 1, n_estimators: 500",0.66,1.0,0.69,1.0,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.01, n_estimators: 1",0.59,0.62,0.78,0.84,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.01, n_estimators: 5",0.59,0.62,0.78,0.84,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.01, n_estimators: 10",0.59,0.62,0.78,0.84,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.01, n_estimators: 50",0.59,0.62,0.78,0.84,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.01, n_estimators: 100",0.6,0.64,0.77,0.85,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.01, n_estimators: 200",0.61,0.67,0.76,0.81,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.01, n_estimators: 500",0.63,0.68,0.75,0.81,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.05, n_estimators: 1",0.59,0.62,0.78,0.84,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.05, n_estimators: 5",0.59,0.62,0.78,0.84,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.05, n_estimators: 10",0.59,0.62,0.78,0.84,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.05, n_estimators: 50",0.61,0.66,0.76,0.82,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.05, n_estimators: 100",0.63,0.68,0.75,0.81,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.05, n_estimators: 200",0.65,0.69,0.75,0.81,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.05, n_estimators: 500",0.65,0.71,0.73,0.81,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.1, n_estimators: 1",0.59,0.62,0.78,0.84,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.1, n_estimators: 5",0.58,0.62,0.78,0.86,lowest of its class,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.1, n_estimators: 10",0.61,0.66,0.77,0.83,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.1, n_estimators: 50",0.64,0.68,0.74,0.8,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.1, n_estimators: 100",0.65,0.7,0.74,0.79,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.1, n_estimators: 200",0.65,0.71,0.73,0.81,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.1, n_estimators: 500",0.64,0.74,0.7,0.81,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.2, n_estimators: 1",0.59,0.62,0.78,0.84,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.2, n_estimators: 5",0.59,0.63,0.77,0.84,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.2, n_estimators: 10",0.61,0.66,0.76,0.81,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.2, n_estimators: 50",0.65,0.71,0.73,0.79,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.2, n_estimators: 100",0.65,0.71,0.73,0.81,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.2, n_estimators: 200",0.63,0.73,0.69,0.81,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.2, n_estimators: 500",0.67,0.78,0.72,0.84,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.5, n_estimators: 1",0.59,0.62,0.78,0.84,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.5, n_estimators: 5",0.62,0.68,0.72,0.79,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.5, n_estimators: 10",0.64,0.69,0.73,0.79,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.5, n_estimators: 50",0.64,0.73,0.7,0.81,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.5, n_estimators: 100",0.64,0.76,0.69,0.81,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.5, n_estimators: 200",0.67,0.8,0.71,0.84,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 0.5, n_estimators: 500",0.65,0.85,0.69,0.88,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 1, n_estimators: 1",0.59,0.62,0.78,0.84,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 1, n_estimators: 5",0.65,0.69,0.75,0.81,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 1, n_estimators: 10",0.63,0.71,0.72,0.8,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 1, n_estimators: 50",0.65,0.79,0.69,0.82,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 1, n_estimators: 100",0.66,0.85,0.7,0.88,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 1, n_estimators: 200",0.67,0.91,0.7,0.93,-,-
AdaBoostClassifier,"algorithm: SAMME, learning_rate: 1, n_estimators: 500",0.68,0.98,0.7,0.99,-,-
GaussianNB,var_smoothing: 1e-09,0.64,0.64,0.66,0.67,highest of its class,lowest of its class
GaussianNB,var_smoothing: 0.1,0.6,0.62,0.73,0.76,lowest of its class,-
GaussianNB,var_smoothing: 1,0.61,0.61,0.76,0.75,-,highest of its class
GaussianNB,var_smoothing: 10,0.62,0.61,0.69,0.68,-,-
MLPClassifier,"activation: relu, learning_rate_init: 0.001, max_iter: 100",0.64,0.68,0.66,0.69,lowest of its class,lowest of its class
MLPClassifier,"activation: relu, learning_rate_init: 0.001, max_iter: 1000",0.66,0.8,0.69,0.83,-,-
MLPClassifier,"activation: relu, learning_rate_init: 0.01, max_iter: 100",0.67,0.8,0.7,0.84,-,-
MLPClassifier,"activation: relu, learning_rate_init: 0.01, max_iter: 1000",0.71,0.96,0.73,0.97,highest of its class,-
MLPClassifier,"activation: tanh, learning_rate_init: 0.001, max_iter: 100",0.68,0.69,0.7,0.73,-,-
MLPClassifier,"activation: tanh, learning_rate_init: 0.001, max_iter: 1000",0.7,0.75,0.73,0.79,-,-
MLPClassifier,"activation: tanh, learning_rate_init: 0.01, max_iter: 100",0.7,0.76,0.74,0.81,-,highest of its class
MLPClassifier,"activation: tanh, learning_rate_init: 0.01, max_iter: 1000",0.68,0.94,0.7,0.96,-,-
